frame_id,offset,source,mask_iou,bbox_iou,image
86,6,lk_raw,0.649695,0.811817,frame_0086_offset_6.png
87,7,lk_raw,0.742630,0.782895,frame_0087_offset_7.png
88,8,lk_raw,0.648980,0.748768,frame_0088_offset_8.png
89,9,lk_raw,0.689583,0.820895,frame_0089_offset_9.png
90,10,lk_raw,0.745475,0.676923,frame_0090_offset_10.png
91,11,lk_raw,0.641451,0.760327,frame_0091_offset_11.png
92,12,lk_raw,0.634576,0.745131,frame_0092_offset_12.png
93,13,lk_raw,0.677560,0.646552,frame_0093_offset_13.png
94,14,lk_raw,0.628328,0.663934,frame_0094_offset_14.png
95,15,lk_raw,0.662474,0.737288,frame_0095_offset_15.png
96,16,lk_raw,0.622951,0.653846,frame_0096_offset_16.png
97,17,lk_raw,0.592554,0.660700,frame_0097_offset_17.png
98,18,lk_raw,0.618994,0.666667,frame_0098_offset_18.png
99,19,lk_raw,0.601713,0.703704,frame_0099_offset_19.png
100,0,anchor,1.000000,1.000000,frame_0100_offset_0.png
101,1,lk_raw,0.797468,0.796875,frame_0101_offset_1.png
102,2,lk_raw,0.820388,0.938462,frame_0102_offset_2.png
103,3,lk_raw,0.758621,0.892308,frame_0103_offset_3.png
104,4,lk_raw,0.826877,0.969231,frame_0104_offset_4.png
105,5,lk_raw,0.798235,0.812500,frame_0105_offset_5.png
106,6,lk_raw,0.872393,0.921875,frame_0106_offset_6.png
107,7,lk_raw,0.793939,0.830769,frame_0107_offset_7.png
108,8,lk_raw,0.848057,0.934307,frame_0108_offset_8.png
109,9,lk_raw,0.725444,0.712528,frame_0109_offset_9.png
110,10,lk_raw,0.751459,0.833429,frame_0110_offset_10.png
111,11,lk_raw,0.707602,0.703512,frame_0111_offset_11.png
112,12,lk_raw,0.752294,0.901408,frame_0112_offset_12.png
113,13,lk_raw,0.769690,0.819925,frame_0113_offset_13.png
114,14,lk_raw,0.819905,0.892562,frame_0114_offset_14.png
115,15,lk_raw,0.814600,0.845307,frame_0115_offset_15.png
116,16,lk_raw,0.791080,0.860616,frame_0116_offset_16.png
117,17,lk_raw,0.811696,0.965517,frame_0117_offset_17.png
118,18,lk_raw,0.748210,0.844645,frame_0118_offset_18.png
119,19,lk_raw,0.788798,0.907164,frame_0119_offset_19.png
120,0,anchor,1.000000,1.000000,frame_0120_offset_0.png
121,1,lk_raw,0.814910,0.834961,frame_0121_offset_1.png
122,2,lk_raw,0.791328,0.801887,frame_0122_offset_2.png
123,3,lk_raw,0.792503,0.854839,frame_0123_offset_3.png
